Product Name,Price (USD),Category,Rating,Number of Reviews,Price (INR)
Asus VivoBook...,295.99,laptops,3,14,24567.170000000002
Prestigio Smar...,299.0,laptops,2,8,24817.0
Prestigio Smar...,299.0,laptops,4,12,24817.0
Aspire E1-510,306.99,laptops,3,2,25480.170000000002
Lenovo V110-15...,321.94,laptops,3,5,26721.02
Lenovo V110-15...,356.49,laptops,2,6,29588.670000000002
Hewlett Packar...,364.46,laptops,1,12,30250.179999999997
Acer Aspire 3...,372.7,laptops,2,2,30934.1
Acer Aspire A3...,379.94,laptops,2,0,31535.02
Acer Aspire ES...,379.95,laptops,4,9,31535.85
Acer Aspire 3...,391.48,laptops,4,10,32492.84
Acer Aspire 3...,393.88,laptops,3,9,32692.04
Asus VivoBook...,399.0,laptops,1,4,33117.0
Asus VivoBook...,399.99,laptops,4,3,33199.17
Lenovo ThinkPa...,404.23,laptops,1,12,33551.090000000004
Acer Aspire 3...,408.98,laptops,4,10,33945.340000000004
Lenovo V110-15...,409.63,laptops,3,9,33999.29
Acer Aspire ES...,410.46,laptops,4,14,34068.18
Asus VivoBook...,410.66,laptops,4,4,34084.78
Packard 255 G2,416.99,laptops,2,2,34610.17
Asus EeeBook R...,433.3,laptops,1,1,35963.9
Acer Aspire 3...,436.29,laptops,1,1,36212.07
Acer Aspire ES...,436.29,laptops,1,2,36212.07
Acer Extensa 1...,439.73,laptops,4,6,36497.590000000004
Acer Aspire ES...,454.62,laptops,1,9,37733.46
Lenovo V110-15...,454.73,laptops,2,2,37742.590000000004
Acer Aspire A3...,457.38,laptops,3,9,37962.54
Lenovo V110-15...,465.95,laptops,1,7,38673.85
Asus VivoBook...,468.56,laptops,3,1,38890.48
Acer Aspire ES...,469.1,laptops,3,5,38935.3
Lenovo V510 Bl...,484.23,laptops,3,8,40191.090000000004
Acer Aspire ES...,485.9,laptops,3,6,40329.7
Lenovo V510 Bl...,487.8,laptops,2,9,40487.4
Acer Swift 1 S...,488.64,laptops,3,4,40557.119999999995
Dell Vostro 15,488.78,laptops,4,14,40568.74
Acer Aspire 3...,494.71,laptops,4,2,41060.93
Dell Vostro 15...,497.17,laptops,1,9,41265.11
Lenovo V510 Bl...,498.23,laptops,3,5,41353.090000000004
HP 250 G3,520.99,laptops,2,13,43242.17
Acer Spin 5,564.98,laptops,2,0,46893.340000000004
HP 350 G1,577.99,laptops,2,10,47973.17
Aspire E1-572G,581.99,laptops,1,2,48305.17
Pavilion,609.99,laptops,1,4,50629.17
Acer Aspire A5...,679.0,laptops,2,9,56357.0
Dell Inspiron...,679.0,laptops,2,7,56357.0
Asus VivoBook...,729.0,laptops,1,2,60507.0
ProBook,739.99,laptops,4,8,61419.17
Inspiron 15,745.99,laptops,3,12,61917.17
